sample_id,ade_m
0,22.655249
1,22.580450
2,22.205883
3,22.093958
4,21.739496
5,21.612917
6,21.280899
7,21.261183
8,21.099098
9,21.327724
10,21.333797
11,21.607151
12,21.545616
13,21.599495
14,21.396397
15,21.274216
16,21.024794
17,20.881289
18,20.675217
19,20.585833
20,20.423910
21,20.367216
22,20.215023
23,20.163210
24,19.991688
25,19.991541
26,19.900517
27,20.120960
28,20.165268
29,20.545650
30,20.632666
31,20.935991
32,20.877756
33,20.891811
34,20.685183
35,20.526535
36,20.295561
37,20.150812
38,19.949844
39,19.860743
40,19.687674
41,19.614426
42,19.440453
43,19.346661
44,18.722658
45,18.233580
46,18.661562
47,18.497732
48,18.496279
49,18.214733
50,18.149574
51,17.840996
52,17.777826
53,17.443779
54,17.396074
55,17.030762
56,16.989674
57,16.597456
58,16.595112
59,16.237022
60,16.468309
61,16.235243
62,16.676542
63,16.487179
64,16.995367
65,16.781214
66,17.255943
67,17.021765
68,17.459303
69,17.222113
70,17.662989
71,17.451208
72,17.890293
73,17.705978
74,18.141033
75,17.966793
76,18.397865
77,18.235788
78,18.649029
79,18.506630
80,18.903599
81,18.778507
82,19.164148
83,19.055180
84,19.427794
85,19.338655
86,19.679880
87,19.545822
88,19.676708
89,19.412817
90,19.363047
91,19.036581
92,18.953497
93,18.630732
94,18.586586
95,18.272228
96,18.258780
97,17.933634
98,17.944939
99,17.651604
100,17.839363
101,17.645058
102,18.000013
103,17.854898
104,18.261833
105,18.106676
106,18.493673
107,18.326710
108,18.683130
109,18.511419
110,18.873753
111,18.722174
112,19.096172
113,18.962574
114,19.346966
115,19.221249
116,19.613649
117,19.497059
118,19.866583
119,19.771315
120,19.915318
121,19.915468
122,19.972862
123,19.968145
124,20.047987
125,20.027925
126,20.128792
127,20.095182
128,20.223299
129,20.169735
130,20.328842
131,20.267416
132,20.445301
133,20.375725
134,20.582285
135,20.500051
136,20.734856
137,20.645781
138,20.905132
139,20.825245
140,21.095963
141,21.009752
142,21.288015
143,21.183815
144,21.472931
145,21.349325
146,21.638691
147,21.494911
148,21.780237
149,21.623056
150,21.897564
151,21.726267
152,21.979282
153,21.804750
154,22.044102
155,21.879498
156,22.095705
157,21.937380
158,22.156788
159,21.996016
160,22.214937
161,22.051111
162,22.260979
163,22.099817
164,22.302938
165,22.143204
166,22.335318
167,22.181812
168,22.368382
169,22.222006
170,22.410324
171,22.228289
172,22.448107
173,22.126417
174,22.485809
175,22.038464
176,22.528694
177,21.950874
178,22.577036
179,21.861885
180,22.570038
181,21.770950
182,22.476101
183,21.674957
184,22.382748
185,21.580910
186,22.282724
187,21.483343
188,22.189606
189,21.382574
190,22.093071
191,21.293226
192,21.995493
193,21.192114
194,21.907871
195,21.086554
196,21.814770
197,20.982529
198,21.716921
199,20.872700
200,21.619553
201,20.762951
202,21.519556
203,20.646791
204,21.423592
205,20.530157
206,21.320183
207,20.419069
208,21.218555
209,20.310535
210,21.120840
211,20.231279
212,21.080563
213,20.222694
214,21.070021
215,20.133680
216,20.761068
217,19.616823
218,20.110434
219,18.879108
220,19.447050
221,18.287971
222,18.989162
223,17.899923
224,18.652662
225,17.575581
226,18.312889
227,17.283228
228,18.136837
229,17.247244
230,18.186609
231,17.400509
232,18.289852
233,17.529083
234,18.347050
235,17.583065
236,18.349607
237,17.599243
238,18.354704
239,17.628637
240,18.372879
241,17.680298
242,18.400074
243,17.751442
244,18.435436
245,17.812876
246,18.474016
247,17.877951
248,18.505816
249,17.942307
250,18.542063
251,18.018120
252,18.578800
253,18.098869
254,18.619402
255,18.182327
256,18.664906
257,18.273394
258,18.714991
259,18.366631
260,18.761728
261,18.449444
262,18.810032
263,18.526218
264,18.780746
265,18.456373
266,18.585535
267,18.253841
268,18.346598
269,18.084766
270,18.179958
271,17.991249
272,18.065609
273,17.926552
274,17.951401
275,17.852442
276,17.829802
277,17.772030
278,17.702671
279,17.691505
280,17.579826
281,17.616795
282,17.457775
283,17.538078
284,17.334820
285,17.461681
286,17.216961
287,17.396225
288,17.136328
289,17.378235
290,17.076307
291,17.352423
292,16.992508
293,17.305979
294,16.911221
295,17.285151
296,16.891657
297,17.331495
298,16.925724
299,17.402290
300,16.957729
301,17.462349
302,16.978371
303,17.510506
304,16.991310
305,17.561636
306,17.002335
307,17.597420
308,17.008121
309,17.630478
310,17.007944
311,17.654367
312,16.998133
313,17.676510
314,16.991665
315,17.690538
316,16.977673
317,17.706083
318,16.964289
319,17.717966
320,16.949945
321,17.728344
322,16.939569
323,17.739161
324,16.931715
325,17.736462
326,16.788673
327,17.528435
328,16.479340
329,17.290726
330,16.300577
331,17.191406
332,16.201324
333,17.087658
334,16.062462
335,16.960037
336,15.916411
337,16.830414
338,15.790464
339,16.721069
340,15.674219
341,16.623163
342,15.579978
343,16.529942
344,15.492461
345,16.448891
346,15.403449
347,16.356213
348,15.337884
349,16.299522
350,15.259779
351,16.256195
352,15.207883
353,16.221394
354,15.176299
355,16.207052
356,15.172521
357,16.204733
358,15.205754
359,16.218367
360,15.266425
361,16.251234
362,15.305803
363,16.295277
364,15.366580
365,16.359806
366,15.436257
367,16.407444
368,15.525998
369,16.463570
370,15.640294
371,16.539719
372,15.734934
373,16.632458
374,15.842442
375,16.721571
376,15.927905
377,16.792078
378,16.000792
379,16.854786
380,16.092653
381,16.885906
382,16.125256
383,16.895182
384,16.080458
385,16.856384
