timestep,time_seconds,mean_error_m,avg_std_error_m,cross_dataset_std_m,red_0_mantra_data_2026-02-24_00-35-05_mean_error_m,red_0_mantra_data_2026-02-24_00-35-05_std_error_m,red_1_mantra_data_2026-02-24_00-36-08_mean_error_m,red_1_mantra_data_2026-02-24_00-36-08_std_error_m,blue_0_mantra_data_2026-02-24_00-34-00_mean_error_m,blue_0_mantra_data_2026-02-24_00-34-00_std_error_m
1,0.050000,0.391700,0.200469,0.031851,0.365095,0.196289,0.436480,0.233428,0.373525,0.171689
2,0.100000,0.408695,0.276009,0.111714,0.366140,0.244240,0.561738,0.461958,0.298208,0.121831
3,0.150000,0.603541,0.474500,0.179579,0.533009,0.410974,0.850094,0.795897,0.427521,0.216630
4,0.200000,0.648040,0.623245,0.283858,0.559951,0.535896,1.031266,1.160516,0.352904,0.173322
5,0.250000,0.862579,0.834442,0.353088,0.738652,0.713162,1.343456,1.530717,0.505630,0.259448
6,0.300000,0.976883,1.005438,0.454521,0.839601,0.856771,1.589352,1.901961,0.501696,0.257583
7,0.350000,1.214894,1.211585,0.526353,1.043385,1.031030,1.927952,2.254569,0.673345,0.349156
8,0.400000,1.387323,1.375050,0.616972,1.198708,1.174999,2.219396,2.597689,0.743863,0.352461
9,0.450000,1.647870,1.573690,0.688452,1.428428,1.344373,2.579073,2.927766,0.936110,0.448932
10,0.500000,1.868786,1.738277,0.771013,1.630546,1.491140,2.909386,3.251473,1.066427,0.472216
11,0.550000,2.161516,1.934456,0.842336,1.895921,1.658753,3.299992,3.567647,1.288634,0.576969
12,0.600000,2.430806,2.104380,0.920742,2.147122,1.809549,3.673235,3.881504,1.472061,0.622087
13,0.650000,2.759785,2.300906,0.993879,2.451559,1.978527,4.101517,4.188687,1.726278,0.735502
14,0.700000,3.074755,2.475520,1.072744,2.748821,2.134871,4.520881,4.492459,1.954564,0.799231
15,0.750000,3.437974,2.673221,1.148409,3.089923,2.307462,4.985831,4.791884,2.238169,0.920317
16,0.800000,3.791766,2.853048,1.228568,3.427202,2.470789,5.445234,5.086808,2.502863,1.001545
17,0.850000,4.184903,3.052385,1.306088,3.800993,2.648037,5.941549,5.378705,2.812166,1.130413
18,0.900000,4.571361,3.237118,1.387231,4.172681,2.818795,6.434253,5.665430,3.107149,1.227128
19,0.950000,4.990353,3.438342,1.465887,4.575068,3.001425,6.956941,5.949936,3.439050,1.363664
20,1.000000,5.404409,3.627709,1.547450,4.976350,3.179871,7.477060,6.229303,3.759816,1.473952
21,1.050000,5.845998,3.831253,1.626819,5.403748,3.368483,8.022404,6.507025,4.111844,1.618250
22,1.100000,6.283959,4.025328,1.708618,5.830850,3.555207,8.566014,6.780148,4.455013,1.740629
23,1.150000,6.745721,4.231959,1.788519,6.280580,3.750937,9.131413,7.052290,4.825169,1.892651
24,1.200000,7.204931,4.431175,1.870496,6.730770,3.946455,9.695788,7.320601,5.188234,2.026468
25,1.250000,7.685033,4.641920,1.950885,7.200884,4.150195,10.279368,7.589380,5.574848,2.186186
26,1.300000,8.163769,4.847139,2.033387,7.672305,4.355080,10.863242,7.855333,5.955760,2.331004
27,1.350000,8.661074,5.062893,2.114436,8.161546,4.567736,11.464093,8.122282,6.357582,2.498661
28,1.400000,9.158001,5.274761,2.197401,8.653090,4.782967,12.065952,8.387098,6.754961,2.654217
29,1.450000,9.671857,5.496637,2.279347,9.160870,5.006504,12.683671,8.653264,7.171031,2.830144
30,1.500000,10.186369,5.715782,2.363147,9.672071,5.233077,13.303295,8.917861,7.583742,2.996408
31,1.550000,10.716374,5.944549,2.446123,10.198211,5.467754,13.937534,9.184905,8.013378,3.180989
32,1.600000,11.247929,6.171724,2.530917,10.728779,5.705914,14.574452,9.451223,8.440557,3.358033
33,1.650000,11.793810,6.408007,2.615049,11.273286,5.951963,15.224957,9.720395,8.883186,3.551664
34,1.700000,12.342054,6.643706,2.701072,11.822905,6.202117,15.879058,9.989376,9.324199,3.739626
35,1.750000,12.903802,6.887988,2.786782,12.385726,6.460046,16.546318,10.261238,9.779361,3.942679
36,1.800000,13.468384,7.132563,2.874172,12.954179,6.722775,17.217333,10.533220,10.233641,4.141694
37,1.850000,14.045846,7.385344,2.961631,13.535136,6.993194,17.901377,10.808338,10.701025,4.354500
38,1.900000,14.626691,7.639096,3.050757,14.122169,7.269063,18.589716,11.083513,11.168188,4.564711
39,1.950000,15.219983,7.900669,3.140275,14.721313,7.552427,19.291031,11.362034,11.647606,4.787548
40,2.000000,15.817533,8.163876,3.232270,15.326466,7.842191,19.998863,11.640351,12.127272,5.009084
41,2.050000,16.426894,8.434261,3.324224,15.944083,8.138839,20.718098,11.921736,12.618500,5.242208
42,2.100000,17.040735,8.707043,3.418803,16.567060,8.442840,21.444592,12.203108,13.110553,5.475183
43,2.150000,17.666240,8.986751,3.513499,17.202999,8.753355,22.182259,12.488067,13.613461,5.718831
44,2.200000,18.296140,9.269460,3.610488,17.843925,9.071861,22.926798,12.773169,14.117697,5.963350
45,2.250000,18.937501,9.558913,3.707911,18.497383,9.396852,23.682781,13.062174,14.632339,6.217714
46,2.300000,19.583183,9.851959,3.807096,19.156282,9.729958,24.444674,13.352066,15.148592,6.473855
47,2.350000,20.240267,10.151705,3.907136,19.827383,10.069603,25.218576,13.646381,15.674842,6.739132
48,2.400000,20.901860,10.455444,4.008737,20.504189,10.417512,25.998281,13.941813,16.203110,7.007006
49,2.450000,21.574200,10.765899,4.110828,21.192966,10.772013,26.788694,14.242296,16.740938,7.283388
50,2.500000,22.251478,11.080721,4.214717,21.887463,11.134877,27.585804,14.544205,17.281168,7.563080
51,2.550000,22.938932,11.402080,4.318732,22.593756,11.504315,28.392410,14.851197,17.830629,7.850728
52,2.600000,23.631830,11.728126,4.424941,23.305984,11.882173,29.206825,15.159808,18.382681,8.142398
53,2.650000,24.334601,12.060581,4.531104,24.029629,12.266632,30.030245,15.473716,18.943930,8.441395
54,2.700000,25.042597,12.398054,4.639026,24.759359,12.659536,30.860542,15.789494,19.507891,8.745132
55,2.750000,25.760216,12.741767,4.746840,25.500292,13.059017,31.699488,16.110674,20.080870,9.055610
56,2.800000,26.483289,13.090650,4.856558,26.247377,13.466889,32.545780,16.433645,20.656710,9.371415
57,2.850000,27.216251,13.445768,4.966612,27.005482,13.881352,33.401730,16.762405,21.241543,9.693546
58,2.900000,27.954098,13.806175,5.077909,27.769764,14.304148,34.263359,17.092813,21.829172,10.021564
59,2.950000,28.701705,14.172603,5.189467,28.544886,14.733526,35.134438,17.428831,22.425793,10.355453
60,3.000000,29.454652,14.544522,5.302720,29.326206,15.171123,36.012402,17.766699,23.025349,10.695745
