sample_id,ade_m
0,0.182169
1,0.185203
2,0.184345
3,0.180173
4,0.167064
5,0.165981
6,0.147792
7,0.161695
8,0.144668
9,0.173039
10,0.158815
11,0.172194
12,0.179512
13,0.163756
14,0.213988
15,0.176301
16,0.230506
17,0.178519
18,0.212961
19,0.182220
20,0.231754
21,0.207366
22,0.301387
23,0.334980
24,0.258539
25,0.239705
26,0.215937
27,0.242430
28,0.214196
29,0.238121
30,0.164062
31,0.172968
32,0.227563
33,0.194159
34,0.267176
35,0.253636
36,0.320560
37,0.345754
38,0.394620
39,0.414836
40,0.469442
41,0.356344
42,0.366451
43,0.426830
44,0.444656
45,0.431404
46,0.480119
47,0.436714
48,0.511676
49,0.384154
50,0.501192
51,0.495285
52,0.394137
53,0.416480
54,0.478006
55,0.539067
56,0.602839
57,0.645423
58,0.733288
59,0.777564
60,0.556504
61,0.645223
62,0.621941
63,0.853420
64,0.896029
65,1.069883
66,0.650117
67,0.600013
68,0.672041
69,0.791768
70,0.883076
71,0.196601
72,0.182860
73,0.186333
74,0.178471
75,0.181647
76,0.179756
77,0.185421
78,0.182345
79,0.186179
80,0.185009
81,0.187518
82,0.185556
83,0.180630
84,0.175251
85,0.175201
86,0.173618
87,0.178646
88,0.180663
89,0.184765
90,0.181896
91,0.205746
92,0.218177
93,0.190021
94,0.249251
95,0.204581
96,0.216287
97,0.232201
98,0.250640
99,0.269193
100,0.295934
101,0.319550
102,0.353218
103,0.285549
104,0.313512
105,0.338824
106,0.374050
107,0.406250
108,0.445256
109,0.372070
110,0.407632
111,0.441772
112,0.478958
113,0.512332
114,0.432270
115,0.470754
116,0.505655
117,0.547087
118,0.582695
119,0.568781
120,0.609801
121,0.557480
122,0.626417
123,0.498406
124,0.614976
125,0.501880
126,0.247529
127,0.258176
128,0.247499
129,0.261222
130,0.257531
131,0.275413
132,0.269762
133,0.289732
134,0.286712
135,0.307015
136,0.299887
137,0.314571
138,0.306164
139,0.321322
140,0.312378
141,0.320451
142,0.309764
143,0.309693
144,0.199638
145,0.191496
146,0.203917
147,0.201087
148,0.226085
149,0.233412
150,0.269638
151,0.262717
152,0.274981
153,0.298911
154,0.328883
155,0.394615
156,0.466514
157,0.513086
158,0.597430
159,0.426803
160,0.444647
161,0.735408
162,0.568288
163,0.578724
164,0.640866
165,0.642386
166,0.701734
167,0.687448
168,1.042573
169,1.044802
170,0.674404
171,0.582298
172,0.662432
173,0.718547
174,0.799081
175,0.865628
176,0.326446
177,0.356254
178,0.410240
179,0.443477
180,0.499891
181,0.530116
182,0.590440
183,0.616606
184,0.678719
185,0.405959
186,0.471190
187,0.519036
188,0.574052
189,0.713363
190,0.687585
191,0.820414
192,0.790620
193,0.921990
194,0.885706
195,1.015114
196,0.425915
197,0.349864
198,0.436602
199,0.375251
200,0.477398
201,0.431836
202,0.554766
203,0.528900
204,0.670596
205,0.665750
206,0.777792
207,0.591751
208,0.719228
209,0.760389
210,0.895608
211,0.281007
212,0.296932
213,0.309392
214,0.319554
215,0.319551
216,0.330264
217,0.331115
218,0.343600
219,0.338005
220,0.343442
221,0.337938
222,0.351321
223,0.365897
224,0.384418
225,0.393645
226,0.402807
227,0.417309
228,0.429346
229,0.438225
230,0.455414
231,0.479737
232,0.496042
233,0.463989
234,0.552747
235,0.534542
236,0.552936
237,0.644195
238,0.668629
239,0.689268
240,0.430804
241,0.265425
242,0.269706
243,0.295753
244,0.316043
245,0.352072
246,0.381646
247,0.419470
248,0.419825
249,0.281782
250,0.259477
251,0.298332
252,0.272505
253,0.301901
254,0.278089
255,0.297236
256,0.274757
257,0.284390
258,0.263360
259,0.265800
260,0.247348
261,0.456731
262,0.468051
263,0.459242
264,0.457118
265,0.379220
266,0.423459
267,0.397554
268,0.380987
269,0.714855
270,0.787232
271,0.707304
272,0.726312
273,0.922315
274,1.107067
275,0.520546
276,0.539071
277,0.231506
278,0.247691
279,0.263336
280,0.303865
281,0.335194
282,0.330332
283,0.380002
284,0.378591
285,0.366659
286,0.425102
287,0.409484
288,0.469219
289,0.459722
290,0.581118
291,0.522743
292,0.620078
293,0.620177
294,0.629410
295,0.626922
296,0.638214
297,0.637188
298,0.654152
299,0.631407
300,0.697354
301,0.643794
302,0.704380
303,0.229314
304,0.230490
305,0.225927
306,0.223910
307,0.221201
308,0.216871
309,0.217850
310,0.215895
311,0.213272
312,0.216324
313,0.214694
314,0.222116
315,0.218624
316,0.235600
317,0.228458
318,0.253142
319,0.242490
320,0.271388
321,0.259267
322,0.290910
323,0.271790
324,0.303961
325,0.277209
326,0.310729
327,0.278579
328,0.312462
329,0.278822
330,0.311189
331,0.272047
332,0.301286
333,0.259221
334,0.285281
335,0.242706
336,0.265942
337,0.243244
338,0.269846
339,0.279095
340,0.319133
341,0.281649
342,0.317513
343,0.411438
344,0.434280
345,0.388775
346,0.424883
347,0.445863
348,0.510384
349,0.183086
350,0.207561
351,0.196553
352,0.212405
353,0.202081
354,0.215866
355,0.194023
356,0.232356
357,0.192293
358,0.194610
359,0.193626
360,0.193308
361,0.207654
362,0.203616
363,0.235529
364,0.230760
365,0.274641
366,0.263284
367,0.314417
368,0.295941
369,0.303600
370,0.312191
371,0.278257
372,0.272480
373,0.520989
374,0.561927
375,0.624292
376,0.668004
377,0.329609
378,0.310130
379,0.329265
380,0.326945
381,0.328687
382,0.321264
383,0.321700
384,0.302544
385,0.296146
386,0.269653
387,0.266769
388,0.256899
389,0.283578
390,0.293587
391,0.340223
392,0.362186
393,0.421856
394,0.448786
395,0.512795
396,0.551769
397,0.605584
398,0.573775
399,0.627445
400,0.662903
401,0.736286
402,0.728235
403,0.743455
404,0.938455
405,0.414354
406,0.412386
407,0.533124
408,0.512931
409,0.280085
410,0.448506
411,0.278140
412,0.275241
413,0.288294
414,0.294354
415,0.333742
416,0.438398
417,0.420406
418,0.457997
419,0.537329
420,0.581841
421,0.579328
422,0.585962
423,0.660162
424,0.881525
425,0.972614
426,0.616221
427,0.454768
428,0.376167
429,0.411422
430,0.400628
431,0.433510
432,0.417116
433,0.338799
434,0.325645
435,0.344174
436,0.445797
437,0.398468
438,0.397564
439,0.448241
440,0.762672
441,0.680069
442,0.743365
443,0.517967
444,0.391382
445,0.456313
446,0.481072
447,0.564117
448,0.595548
449,0.333860
450,0.352801
451,0.269972
452,0.288194
453,0.270049
454,0.311450
455,0.342872
456,0.456132
457,0.417879
458,0.460639
459,0.526637
460,0.566033
461,0.519452
462,0.575109
463,0.505046
464,0.531353
465,0.435577
466,0.544167
467,0.437039
468,0.452173
469,0.522410
470,0.545514
471,0.506267
472,0.540156
473,0.380100
474,0.283834
475,0.366860
476,0.407981
477,0.477597
478,0.459174
479,0.403499
480,0.294704
481,0.267373
482,0.276809
483,0.298614
484,0.293921
485,0.313337
486,0.384778
487,0.402736
488,0.426712
489,0.304647
490,0.263398
491,0.266922
492,0.265858
493,0.264936
494,0.254590
495,0.246830
496,0.258937
497,0.253096
498,0.255048
499,0.226847
500,0.231850
501,0.220337
502,0.226815
503,0.216262
504,0.223240
505,0.214397
506,0.219158
507,0.210241
508,0.215586
509,0.205860
510,0.209862
511,0.201698
512,0.206279
513,0.196292
514,0.208487
515,0.202731
516,0.224625
517,0.231450
518,0.253632
519,0.269201
520,0.263304
521,0.281369
522,0.272025
523,0.291156
524,0.283047
525,0.310365
526,0.221032
527,0.222560
528,0.222272
529,0.225327
530,0.225102
531,0.225829
532,0.221778
533,0.219844
534,0.222487
535,0.228112
536,0.223367
537,0.222520
538,0.229800
539,0.222011
540,0.224861
541,0.235412
542,0.238096
543,0.223705
544,0.226025
545,0.223909
546,0.226032
547,0.224432
548,0.226163
549,0.237464
550,0.231594
551,0.235573
552,0.226684
553,0.235623
554,0.235640
555,0.236077
556,0.236226
557,0.236996
558,0.237232
559,0.236823
560,0.235460
561,0.237939
562,0.236591
563,0.238654
564,0.239603
565,0.243767
566,0.244228
567,0.252278
568,0.245741
569,0.242860
570,0.248319
571,0.310280
572,0.249700
573,0.257893
574,0.250259
575,0.256855
576,0.248793
577,0.254971
578,0.246235
579,0.241953
580,0.236842
581,0.257733
582,0.251338
583,0.268981
584,0.286438
585,0.246258
586,0.337109
587,0.302945
588,0.404020
589,0.343956
590,0.507767
591,0.462776
592,0.582899
593,0.232528
594,0.249887
595,0.232441
596,0.215489
597,0.236238
598,0.217531
599,0.227137
600,0.231401
601,0.229653
602,0.231831
603,0.230580
604,0.233225
605,0.233154
606,0.235871
607,0.236711
608,0.239019
609,0.238750
610,0.245364
611,0.238102
612,0.250018
613,0.220590
614,0.234661
615,0.239119
616,0.253325
617,0.237045
618,0.255560
619,0.234310
620,0.251043
621,0.230712
622,0.238200
623,0.217935
624,0.218886
625,0.203567
626,0.204658
627,0.196330
628,0.199271
629,0.194299
630,0.199412
631,0.196084
632,0.201660
633,0.207770
634,0.195508
635,0.208908
636,0.200513
637,0.224747
638,0.224361
639,0.252913
640,0.260702
641,0.271034
642,0.295579
643,0.271292
644,0.300346
645,0.276694
646,0.301358
647,0.284567
648,0.311790
649,0.285453
650,0.275966
651,0.280676
652,0.300976
653,0.265660
654,0.284392
655,0.249781
656,0.265803
657,0.231284
658,0.240492
659,0.217529
660,0.227862
661,0.222759
662,0.236054
663,0.249912
664,0.271639
665,0.297183
666,0.332625
667,0.450602
668,0.493406
669,0.546443
670,0.603141
671,0.656914
672,0.677981
673,0.753010
674,0.731074
675,0.752987
676,0.362372
677,0.380320
678,0.281353
679,0.293514
680,0.322005
681,0.300068
682,0.335349
683,0.306655
684,0.337780
685,0.313806
686,0.402117
687,0.320992
688,0.471887
689,0.485392
690,0.508348
691,0.483470
692,0.527058
693,0.500277
694,0.522604
695,0.518756
696,0.535391
697,0.428565
698,0.214775
699,0.238141
700,0.280683
701,0.224704
702,0.374368
703,0.392526
704,0.321425
705,0.388422
706,0.348353
707,0.537542
708,0.379300
709,0.573227
710,0.410159
711,0.608281
712,0.441876
713,0.610451
714,0.483391
715,0.645301
716,0.677378
717,0.710315
718,0.674873
719,0.710007
720,0.704322
721,0.741929
722,0.487865
723,0.714037
724,0.496975
725,0.527134
726,0.527597
727,0.557795
728,0.559024
729,0.591142
730,0.589566
731,0.623833
732,0.622772
733,0.654989
734,0.653641
735,0.688701
736,0.685948
737,0.724004
738,0.721146
739,0.759184
740,0.754290
741,0.793147
742,0.789863
743,0.828949
744,0.825541
745,0.865319
746,0.860225
747,0.900326
748,0.893925
749,0.933500
750,0.989075
751,0.964144
752,1.051991
753,1.075170
754,1.039839
755,1.060895
756,1.057963
757,1.075302
758,1.072855
759,1.093305
760,1.092329
761,1.113329
762,1.036056
763,1.089556
764,1.045861
765,1.105099
766,1.072033
767,1.137726
768,1.281446
769,1.180207
770,1.300217
771,1.217027
772,1.315629
773,1.182004
774,1.325382
775,1.202484
776,1.332607
777,1.218771
778,1.336663
779,0.718103
780,1.142544
781,0.687199
782,0.617316
783,0.685833
784,0.614436
785,0.684194
786,0.612485
787,0.679692
788,0.611548
789,0.681567
790,0.611253
791,0.686519
792,0.614421
793,0.696148
794,0.619801
795,0.707521
796,0.628796
797,0.721027
798,0.640561
799,0.740560
800,0.659217
801,0.768079
802,0.685097
803,0.801827
804,0.717056
805,0.840939
806,0.758925
807,0.890403
808,0.588332
809,0.640205
810,0.547545
811,0.577885
812,0.485635
813,0.537037
814,0.450632
815,0.495735
816,0.581598
817,0.664043
818,0.549618
819,0.924248
820,0.780959
821,0.782737
822,0.641726
823,0.626750
824,0.666581
825,0.679990
826,0.729636
827,0.743916
828,0.782610
829,0.873415
830,0.846091
831,0.940236
832,0.981512
833,0.395365
834,0.404787
835,0.366296
836,0.418276
837,0.381806
838,0.393567
839,0.366323
840,0.387085
841,0.373839
842,0.386507
843,0.404710
844,0.417674
845,0.770779
846,0.689786
847,0.661580
848,0.757621
849,0.732634
850,0.599463
851,0.658857
852,0.618052
853,0.696906
854,0.628315
855,0.647262
856,0.687369
857,0.728965
858,0.778158
859,1.028994
860,0.321119
861,0.339545
862,0.388004
863,0.412875
864,0.460322
865,0.480921
866,0.519008
867,0.364149
868,0.323676
869,0.339976
870,0.372695
871,0.370434
872,0.438565
873,0.419483
874,0.489785
875,0.469272
876,0.542908
877,0.518881
878,0.423925
879,0.436477
880,0.459957
881,0.491640
882,0.245408
883,0.536603
884,0.375417
885,0.389886
886,0.447232
887,0.447186
888,0.495449
889,0.259800
890,0.321145
891,0.325755
892,0.386873
893,0.389658
894,0.444829
895,0.436960
896,0.405183
897,0.173632
898,0.213692
899,0.209119
900,0.252287
901,0.275943
902,0.444956
903,0.508346
904,0.707507
905,0.710526
906,0.723914
907,0.473406
908,0.505696
909,0.233032
910,0.242671
911,0.229815
912,0.277645
913,0.298156
914,0.351466
915,0.367007
916,0.421211
917,0.435224
918,0.186553
919,0.236684
920,0.272628
921,0.331187
922,0.370064
923,0.485164
924,0.282465
925,0.323714
926,0.422656
927,0.504207
928,0.573628
929,0.652596
930,0.716449
931,0.718748
932,0.772070
933,0.904674
934,0.728182
935,0.645995
936,0.597914
937,0.335334
938,0.635554
939,0.253794
940,0.221258
941,0.205221
942,0.229074
943,0.208277
944,0.240963
945,0.236196
946,0.266687
947,0.411025
948,0.137904
949,0.182565
950,0.192076
951,0.225230
952,0.237829
953,0.275990
954,0.287265
955,0.320014
956,0.365656
957,0.304836
958,0.345753
959,0.305365
960,0.295006
961,0.300588
962,0.302378
963,0.257990
964,0.186803
965,0.184060
966,0.183920
967,0.194590
968,0.192119
969,0.217791
970,0.218773
971,0.252961
972,0.211696
973,0.322032
974,0.326657
975,0.415001
976,0.435653
977,0.296434
978,0.292915
979,0.330403
980,0.326770
981,0.374298
982,0.442186
983,0.421252
984,0.470205
985,0.494463
986,0.606647
987,0.528028
988,0.534159
989,0.543770
990,0.553370
991,0.595891
992,0.488811
993,0.579648
994,0.614948
995,0.673275
996,0.697115
997,0.423174
998,0.430125
999,0.472489
1000,0.494587
1001,0.540350
1002,0.577455
1003,0.573910
1004,0.641243
1005,0.397307
1006,0.809279
1007,0.517071
1008,0.595100
1009,0.686064
1010,0.556669
1011,0.470415
1012,0.537124
1013,0.610088
1014,0.676063
1015,1.092324
1016,1.173686
1017,0.481251
1018,0.281211
1019,0.340421
1020,0.400518
1021,0.460698
1022,0.235034
1023,0.303042
1024,0.320828
1025,0.393535
1026,0.405962
1027,0.219261
1028,0.429976
1029,0.281364
1030,0.296505
1031,0.363370
1032,0.304653
1033,0.415301
1034,0.387114
1035,0.285087
1036,0.279541
1037,0.662153
1038,0.323267
1039,0.369351
1040,0.405764
1041,0.379847
1042,0.228362
1043,0.213106
1044,0.216106
1045,0.574497
1046,0.185280
1047,0.170268
1048,0.172124
1049,0.163380
1050,0.169338
1051,0.554012
1052,0.514657
1053,0.429971
1054,0.414753
1055,0.397760
1056,0.381816
1057,0.366309
1058,0.352273
1059,0.341083
1060,0.340902
1061,0.313248
1062,0.335768
1063,0.310405
1064,0.335422
1065,0.342131
1066,0.362942
1067,0.309076
1068,0.335400
1069,0.326398
1070,0.353514
1071,0.381532
1072,0.372154
1073,0.465372
1074,0.440270
1075,0.444079
1076,0.174739
1077,0.181800
1078,0.194111
1079,0.199980
1080,0.227492
1081,0.239935
1082,0.269396
1083,0.228962
1084,0.247226
1085,0.268711
1086,0.298238
1087,0.301869
1088,0.287267
1089,0.320172
1090,0.345160
1091,0.544003
1092,0.608572
1093,0.523613
1094,0.341364
1095,0.321063
1096,0.318556
1097,0.558788
1098,0.628429
1099,0.785105
1100,0.686747
1101,0.719324
1102,0.233073
1103,0.249731
1104,0.279190
1105,0.320116
1106,0.354302
1107,0.371894
1108,0.389492
1109,0.596149
1110,0.616020
1111,0.557027
1112,0.552266
1113,0.307394
1114,0.315598
1115,0.332776
1116,0.266499
1117,0.276055
1118,0.316300
1119,0.366555
1120,0.630243
1121,0.509175
1122,0.423047
