timestep,time_seconds,mean_error_m,avg_std_error_m,cross_dataset_std_m,blue_0_mantra_data_2026-02-23_14-25-28_mean_error_m,blue_0_mantra_data_2026-02-23_14-25-28_std_error_m,blue_0_mantra_data_2026-02-23_09-46-00_mean_error_m,blue_0_mantra_data_2026-02-23_09-46-00_std_error_m,red_1_mantra_data_2026-02-23_09-48-22_mean_error_m,red_1_mantra_data_2026-02-23_09-48-22_std_error_m,red_0_mantra_data_2026-02-23_09-47-13_mean_error_m,red_0_mantra_data_2026-02-23_09-47-13_std_error_m
1,0.050000,0.188959,0.059484,0.012820,0.179361,0.049218,0.179361,0.049218,0.210577,0.084245,0.186537,0.055254
2,0.100000,0.171478,0.071991,0.006764,0.177356,0.048168,0.177356,0.048168,0.170333,0.114519,0.160866,0.077107
3,0.150000,0.161909,0.099422,0.007970,0.154733,0.052560,0.154733,0.052560,0.173989,0.178195,0.164180,0.114374
4,0.200000,0.177792,0.133631,0.005349,0.180915,0.067941,0.180915,0.067941,0.180812,0.238717,0.168528,0.159927
5,0.250000,0.188999,0.169779,0.012458,0.179431,0.077773,0.179431,0.077773,0.209850,0.312963,0.187286,0.210607
6,0.300000,0.207694,0.210542,0.015749,0.198260,0.093028,0.198260,0.093028,0.234962,0.389762,0.199296,0.266351
7,0.350000,0.237351,0.256092,0.025874,0.216781,0.107390,0.216781,0.107390,0.280118,0.480178,0.235723,0.329410
8,0.400000,0.270903,0.306201,0.031219,0.246223,0.127193,0.246223,0.127193,0.322621,0.574433,0.268547,0.395985
9,0.450000,0.312140,0.362843,0.042830,0.275687,0.149505,0.275687,0.149505,0.380391,0.680435,0.316794,0.471926
10,0.500000,0.362403,0.423815,0.049985,0.319152,0.177412,0.319152,0.177412,0.441091,0.790529,0.370219,0.549907
11,0.550000,0.415721,0.491143,0.064909,0.357993,0.208344,0.357993,0.208344,0.515416,0.910005,0.431483,0.637878
12,0.600000,0.481305,0.561689,0.075961,0.413238,0.243965,0.413238,0.243965,0.597058,1.032241,0.501686,0.726585
13,0.650000,0.549515,0.638314,0.094824,0.463561,0.282729,0.463561,0.282729,0.692098,1.162730,0.578840,0.825067
14,0.700000,0.626934,0.718460,0.109022,0.527654,0.325615,0.527654,0.325615,0.789922,1.297919,0.662505,0.924691
15,0.750000,0.710278,0.804690,0.129075,0.591759,0.371832,0.591759,0.371832,0.901098,1.441650,0.756494,1.033446
16,0.800000,0.796993,0.894921,0.145457,0.662859,0.422222,0.662859,0.422222,1.010700,1.591172,0.851554,1.144067
17,0.850000,0.896280,0.990235,0.166213,0.741983,0.475324,0.741983,0.475324,1.137976,1.748041,0.963177,1.262252
18,0.900000,0.993975,1.089791,0.186035,0.820844,0.533136,0.820844,0.533136,1.263385,1.909675,1.070826,1.383217
19,0.950000,1.112714,1.191907,0.211012,0.915915,0.592378,0.915915,0.592378,1.417181,2.073587,1.201846,1.509285
20,1.000000,1.226150,1.298448,0.237445,1.004863,0.656825,1.004863,0.656825,1.569191,2.241086,1.325683,1.639056
